id,segment_id,source_type,observation_type,verification_state,confidence,source_reliability,observed_at,expires_at,road_type,lit
5,456736,user_report,poor_lighting,EXPIRED,0.5,0.6,2025-04-01T05:41:01.151737+00:00,,footway,
4,456736,city_data,streetlight_not_working,CORROBORATED,0.5,0.9,2026-08-11T05:41:01.151737+00:00,,footway,
3,456736,user_report,streetlight_not_working,CORROBORATED,0.5,0.6,2026-08-12T05:41:01.151737+00:00,,footway,
224,456895,user_report,harassment,CORROBORATED,0.5,0.6,2026-08-13T19:55:32.103807+00:00,,service,
89,456765,user_report,harassment,CORROBORATED,0.5,0.6,2026-08-13T19:55:32.103807+00:00,,steps,
149,456862,user_report,harassment,CORROBORATED,0.5,0.6,2026-08-13T19:55:32.103807+00:00,,service,
14,454720,user_report,harassment,CORROBORATED,0.5,0.6,2026-08-13T19:55:32.103807+00:00,,service,
104,456772,user_report,harassment,CORROBORATED,0.5,0.6,2026-08-13T19:55:32.103807+00:00,,pedestrian,
140,456858,user_report,harassment,CORROBORATED,0.5,0.6,2026-08-13T19:55:32.103807+00:00,,footway,
41,456662,user_report,harassment,CORROBORATED,0.5,0.6,2026-08-13T19:55:32.103807+00:00,,pedestrian,
92,456766,user_report,harassment,CORROBORATED,0.5,0.6,2026-08-13T19:55:32.103807+00:00,,pedestrian,
137,456857,user_report,harassment,CORROBORATED,0.5,0.6,2026-08-13T19:55:32.103807+00:00,,service,
248,456903,user_report,harassment,CORROBORATED,0.5,0.6,2026-08-13T19:55:32.103807+00:00,,footway,
128,456853,user_report,harassment,CORROBORATED,0.5,0.6,2026-08-13T19:55:32.103807+00:00,,footway,
158,456865,user_report,harassment,CORROBORATED,0.5,0.6,2026-08-13T19:55:32.103807+00:00,,service,
242,456901,user_report,harassment,CORROBORATED,0.5,0.6,2026-08-13T19:55:32.103807+00:00,,service,
110,456784,user_report,harassment,CORROBORATED,0.5,0.6,2026-08-13T19:55:32.103807+00:00,,secondary,
131,456855,user_report,harassment,CORROBORATED,0.5,0.6,2026-08-13T19:55:32.103807+00:00,,footway,
95,456767,user_report,harassment,CORROBORATED,0.5,0.6,2026-08-13T19:55:32.103807+00:00,,pedestrian,
170,456877,user_report,harassment,CORROBORATED,0.5,0.6,2026-08-13T19:55:32.103807+00:00,,service,
20,456639,user_report,harassment,CORROBORATED,0.5,0.6,2026-08-13T19:55:32.103807+00:00,,service,
107,456777,user_report,harassment,CORROBORATED,0.5,0.6,2026-08-13T19:55:32.103807+00:00,,steps,
155,456864,user_report,harassment,CORROBORATED,0.5,0.6,2026-08-13T19:55:32.103807+00:00,,secondary,
134,456856,user_report,harassment,CORROBORATED,0.5,0.6,2026-08-13T19:55:32.103807+00:00,,service,
230,456897,user_report,harassment,CORROBORATED,0.5,0.6,2026-08-13T19:55:32.103807+00:00,,footway,
113,456847,user_report,harassment,CORROBORATED,0.5,0.6,2026-08-13T19:55:32.103807+00:00,,footway,yes
161,456866,user_report,harassment,CORROBORATED,0.5,0.6,2026-08-13T19:55:32.103807+00:00,,service,
116,456849,user_report,harassment,CORROBORATED,0.5,0.6,2026-08-13T19:55:32.103807+00:00,,service,
143,456859,user_report,harassment,CORROBORATED,0.5,0.6,2026-08-13T19:55:32.103807+00:00,,footway,
23,456640,user_report,harassment,CORROBORATED,0.5,0.6,2026-08-13T19:55:32.103807+00:00,,service,
119,456850,user_report,harassment,CORROBORATED,0.5,0.6,2026-08-13T19:55:32.103807+00:00,,secondary,
146,456860,user_report,harassment,CORROBORATED,0.5,0.6,2026-08-13T19:55:32.103807+00:00,,service,
179,456880,user_report,harassment,CORROBORATED,0.5,0.6,2026-08-13T19:55:32.103807+00:00,,service,
122,456851,user_report,harassment,CORROBORATED,0.5,0.6,2026-08-13T19:55:32.103807+00:00,,secondary,
152,456863,user_report,harassment,CORROBORATED,0.5,0.6,2026-08-13T19:55:32.103807+00:00,,secondary,
218,456893,user_report,harassment,CORROBORATED,0.5,0.6,2026-08-13T19:55:32.103807+00:00,,service,
125,456852,user_report,harassment,CORROBORATED,0.5,0.6,2026-08-13T19:55:32.103807+00:00,,secondary,
38,456661,user_report,harassment,CORROBORATED,0.5,0.6,2026-08-13T19:55:32.103807+00:00,,pedestrian,
164,456867,user_report,harassment,CORROBORATED,0.5,0.6,2026-08-13T19:55:32.103807+00:00,,service,
77,456690,user_report,harassment,CORROBORATED,0.5,0.6,2026-08-13T19:55:32.103807+00:00,,service,
176,456879,user_report,harassment,CORROBORATED,0.5,0.6,2026-08-13T19:55:32.103807+00:00,,service,
29,456658,user_report,harassment,CORROBORATED,0.5,0.6,2026-08-13T19:55:32.103807+00:00,,footway,
59,456668,user_report,harassment,CORROBORATED,0.5,0.6,2026-08-13T19:55:32.103807+00:00,,steps,
185,456882,user_report,harassment,CORROBORATED,0.5,0.6,2026-08-13T19:55:32.103807+00:00,,service,
233,456898,user_report,harassment,CORROBORATED,0.5,0.6,2026-08-13T19:55:32.103807+00:00,,secondary,
71,456672,user_report,harassment,CORROBORATED,0.5,0.6,2026-08-13T19:55:32.103807+00:00,,pedestrian,
206,456889,user_report,harassment,CORROBORATED,0.5,0.6,2026-08-13T19:55:32.103807+00:00,,service,
167,456876,user_report,harassment,CORROBORATED,0.5,0.6,2026-08-13T19:55:32.103807+00:00,,secondary,
68,456671,user_report,harassment,CORROBORATED,0.5,0.6,2026-08-13T19:55:32.103807+00:00,,pedestrian,
44,456663,user_report,harassment,CORROBORATED,0.5,0.6,2026-08-13T19:55:32.103807+00:00,,steps,
215,456892,user_report,harassment,CORROBORATED,0.5,0.6,2026-08-13T19:55:32.103807+00:00,,service,
17,456638,user_report,harassment,CORROBORATED,0.5,0.6,2026-08-13T19:55:32.103807+00:00,,service,
56,456667,user_report,harassment,CORROBORATED,0.5,0.6,2026-08-13T19:55:32.103807+00:00,,pedestrian,
212,456891,user_report,harassment,CORROBORATED,0.5,0.6,2026-08-13T19:55:32.103807+00:00,,service,
239,456900,user_report,harassment,CORROBORATED,0.5,0.6,2026-08-13T19:55:32.103807+00:00,,service,
50,456665,user_report,harassment,CORROBORATED,0.5,0.6,2026-08-13T19:55:32.103807+00:00,,steps,
182,456881,user_report,harassment,CORROBORATED,0.5,0.6,2026-08-13T19:55:32.103807+00:00,,service,
221,456894,user_report,harassment,CORROBORATED,0.5,0.6,2026-08-13T19:55:32.103807+00:00,,service,
83,456763,user_report,harassment,CORROBORATED,0.5,0.6,2026-08-13T19:55:32.103807+00:00,,steps,
